source,bias,factual_reporting,country,media_type,popularity,mbfc_credibility_rating
9news.com,neutral,high,usa,tv station,high traffic,high credibility
nbc11news.com,neutral,high,usa,tv station,medium traffic,high credibility
12news.com,neutral,high,usa,tv station,medium traffic,high credibility
wibw.com,neutral,high,usa,tv station,medium traffic,high credibility
wifr.com,neutral,high,usa,tv station,medium traffic,high credibility
247wallst.com,neutral,high,usa,website,medium traffic,high credibility
24ur.com,neutral,mixed,slovenia,website,high traffic,high credibility
38north.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
join1440.com,neutral,high,usa,website,medium traffic,high credibility
abc7chicago.com,neutral,high,usa,tv station,high traffic,high credibility
abc7ny.com,neutral,high,usa,tv station,high traffic,high credibility
abc12.com,neutral,high,usa,tv station,medium traffic,high credibility
abs-cbn.com,neutral,high,philippines,tv station,high traffic,high credibility
actionnewsjax.com,neutral,high,usa,tv station,medium traffic,high credibility
adfontesmedia.com,neutral,high,usa,website,medium traffic,high credibility
lenconnect.com,left-center,high,usa,newspaper,minimal traffic,high credibility
adweek.com,neutral,high,usa,magazine,medium traffic,high credibility
africacheck.org,neutral,high,south africa,website,medium traffic,high credibility
agdaily.com,neutral,high,usa,website,minimal traffic,high credibility
afp.com,neutral,high,france,news agency,high traffic,high credibility
ansa.it,neutral,high,italy,news agency,high traffic,high credibility
agerpres.ro,neutral,high,romania,news agency,medium traffic,high credibility
agweb.com,right-center,high,usa,journal,medium traffic,high credibility
ahwatukee.com,neutral,high,usa,newspaper,minimal traffic,high credibility
airforcetimes.com,neutral,high,usa,newspaper,medium traffic,high credibility
airwars.org,neutral,high,united kingdom,organization/foundation,minimal traffic,high credibility
alabamanow.com,neutral,high,usa,newspaper,medium traffic,high credibility
alreporter.com,neutral,high,usa,website,medium traffic,high credibility
democratherald.com,neutral,high,usa,newspaper,medium traffic,high credibility
ad.nl,neutral,high,netherlands,newspaper,high traffic,high credibility
allafrica.com,neutral,high,south africa,website,medium traffic,high credibility
gmfus.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
alloaadvertiser.com,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
thealpenanews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
amarillo.com,neutral,high,usa,newspaper,minimal traffic,high credibility
americanheritage.com,neutral,high,usa,website,minimal traffic,high credibility
americanpressinstitute.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
amomama.com,neutral,high,cyprus,website,high traffic,high credibility
adn.com,neutral,high,usa,newspaper,medium traffic,high credibility
independentmail.com,neutral,high,usa,newspaper,minimal traffic,high credibility
andoveradvertiser.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
mlive.com,neutral,high,usa,website,high traffic,high credibility
arcdigital.media,neutral,high,usa,website,minimal traffic,high credibility
ardrossanherald.com,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
arirang.com,neutral,high,south korea,tv station,high traffic,high credibility
armytimes.com,neutral,high,usa,newspaper,medium traffic,high credibility
arstechnica.com,neutral,high,usa,website,high traffic,high credibility
asiatimes.com,neutral,high,hong kong,newspaper,medium traffic,high credibility
summitdaily.com,neutral,high,usa,newspaper,medium traffic,high credibility
athensmessenger.com,neutral,high,usa,newspaper,minimal traffic,high credibility
atlasobscura.com,neutral,high,usa,website,high traffic,high credibility
auburnpub.com,neutral,high,usa,newspaper,medium traffic,high credibility
aap.com.au,neutral,high,australia,news agency,medium traffic,high credibility
avenuenews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
ayradvertiser.com,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
azfamily.com,neutral,high,usa,tv station,medium traffic,high credibility
babnet.net,neutral,mixed,tunisia,website,medium traffic,medium credibility
ballotpedia.org,neutral,high,usa,organization/foundation,high traffic,high credibility
barrheadnews.com,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
barryanddistrictnews.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
basingstokegazette.co.uk,neutral,high,united kingdom,newspaper,medium traffic,high credibility
beatricedailysun.com,neutral,high,usa,newspaper,minimal traffic,high credibility
bnd.com,right-center,high,usa,website,medium traffic,high credibility
benzinga.com,neutral,high,usa,website,high traffic,high credibility
bestlifeonline.com,neutral,mixed,usa,website,high traffic,high credibility
bettergov.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
bicesteradvertiser.net,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
bigcountry995.com,neutral,high,usa,radio station,minimal traffic,high credibility
bignewsnetwork.com,neutral,mixed,united arab emirates,website,medium traffic,high credibility
bigthink.com,neutral,high,usa,website,high traffic,high credibility
sunherald.com,neutral,high,usa,newspaper,medium traffic,high credibility
biography.com,neutral,high,usa,website,high traffic,high credibility
bismarcktribune.com,neutral,high,usa,newspaper,medium traffic,high credibility
blastingnews.com,neutral,high,united kingdom,website,high traffic,high credibility
bleepingcomputer.com,neutral,high,usa,website,high traffic,high credibility
bnonews.com,neutral,high,netherlands,news agency,medium traffic,high credibility
bordercountiesadvertizer.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
borderreport.com,neutral,high,usa,website,medium traffic,high credibility
bordertelegraph.com,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
borehamwoodtimes.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
bournemouthecho.co.uk,neutral,high,united kingdom,newspaper,high traffic,high credibility
bozemandailychronicle.com,neutral,high,usa,newspaper,medium traffic,high credibility
bracknellnews.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
thetelegraphandargus.co.uk,neutral,high,united kingdom,newspaper,high traffic,high credibility
braintreeandwithamtimes.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
brentwoodlive.co.uk,neutral,high,united kingdom,newspaper,minimal traffic,high credibility
bridgemi.com,left-center,high,usa,organization/foundation,medium traffic,high credibility
bringmethenews.com,neutral,high,usa,website,medium traffic,high credibility
heraldcourier.com,neutral,high,usa,newspaper,minimal traffic,high credibility
theeagle.com,neutral,high,usa,newspaper,medium traffic,high credibility
buffalonews.com,neutral,high,usa,newspaper,high traffic,high credibility
bullshido.net,neutral,high,usa,website,minimal traffic,high credibility
business2community.com,neutral,mixed,usa,website,minimal traffic,medium credibility
butlercountytimesgazette.com,neutral,high,usa,newspaper,minimal traffic,high credibility
canoncitydailyrecord.com,neutral,high,usa,newspaper,minimal traffic,high credibility
capecodtimes.com,neutral,high,usa,newspaper,medium traffic,high credibility
capecoralbreeze.com,neutral,high,usa,newspaper,minimal traffic,high credibility
capitolfax.com,neutral,high,usa,website,medium traffic,high credibility
carrollconews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
trib.com,neutral,high,usa,newspaper,medium traffic,high credibility
castanet.net,neutral,high,canada,website,high traffic,high credibility
tucsonlocalmedia.com,neutral,high,usa,newspaper,minimal traffic,high credibility
cdt.org,neutral,high,usa,organization/foundation,minimal traffic,high credibility
opensecrets.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
csis.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
chandlernews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
postregister.com,neutral,high,usa,newspaper,minimal traffic,high credibility
channelnewsasia.com,neutral,high,singapore,tv station,high traffic,high credibility
charitynavigator.org,neutral,high,usa,organization/foundation,medium traffic,high credibility
chathamhouse.org,neutral,high,united kingdom,organization/foundation,medium traffic,high credibility
timesfreepress.com,neutral,high,usa,newspaper,medium traffic,high credibility
