source,bias,factual_reporting
al.com,right-center,high
al.com,right-center,high
alaskasnewssource.com,neutral,high
alaskasnewssource.com,neutral,high
audacy.com,neutral,high
audacy.com,neutral,high
baltimoresun.com,left-center,high
baltimoresun.comDELETED,left,mixed
bloomberg.comDELETED,left-center,high
bloomberg.com,left-center,mixed
c-span.org,neutral,high
c-span.org,neutral,high
cbslocal.comDELETED,neutral,high
cbslocal.comDELETED,left-center,high
cbsnews.com,left-center,high
cbsnews.com,left-center,high
cecildaily.comDELETED,neutral,high
cecildaily.com,left-center,high
dayton247now.com,right-center,high
dayton247now.com,right-center,high
facebook.comDELETED,left-center,high
facebook.comDELETED,left,mixed
facebook.comDELETED,right,low
frontiersin.org,neutral,mixed
frontiersin.org,neutral,mixed
frontiersin.org,neutral,mixed
frontiersin.org,neutral,mixed
hjnews.comDELETED,left-center,high
hjnews.com,neutral,high
hometownsource.com,left-center,high
hometownsource.com,left-center,high
hometownstations.com,neutral,high
hometownstations.com,neutral,high
idahopress.com,left-center,high
idahopress.com,left-center,high
indiatimes.com,right-center,mixed
indiatimes.com,right-center,mixed
jpost.com,right-center,high
jpost.comDELETED,right-center,mixed
knopnews2.com,neutral,high
knopnews2.com,neutral,high
mdpi.com,neutral,mixed
mdpi.com,neutral,mixed
messengernews.net,neutral,high
messengernews.net,neutral,high
mlive.com,neutral,high
mlive.com,neutral,high
mlive.comDELETED,right-center,high
myeasternshoremdDELETED.com,left-center,high
myeasternshoremdDELETED.com,neutral,high
newspressnow.com,neutral,high
newspressnow.com,neutral,high
saltwire.com,right-center,high
saltwire.com,right-center,high
science.org,neutral,high
science.org,neutral,high
shawlocal.com,neutral,high
shawlocal.com,neutral,high
somdnews.comDELETED,neutral,high
somdnews.com,left-center,high
sputniknews.com,right-center,low
sputniknews.com,right-center,low
theadvocate.com,left-center,high
theadvocate.com,left-center,high
theguardian.com,left-center,mixed
theguardian.com,left-center,mixed
thespec.com,left-center,high
thespec.com,left-center,high
thestar.com,right,mixed
thestar.comDELETED,left-center,high
thestar.comDELETED,left-center,high
theunion.com,neutral,high
theunion.com,neutral,high
wcyb.com,right-center,high
wcyb.com,right-center,high
westernjournal.com,right,mixed
westernjournal.com,right,low
westernmassnews.com,neutral,high
westernmassnews.com,neutral,high
wired.com,left-center,high
wired.com,left-center,high
wyomingnewsnow.tv,neutral,high
wyomingnewsnow.tv,neutral,high
yoursun.com,neutral,high
yoursun.com,neutral,high
